token,name,province_or_state,city,district,address,business_hour,phone,email,website,wechat,has_test_flight,has_trade_in,has_repair,channel_type,store_type,google_lat,google_lng,baidu_lat,baidu_lng
60000762,上海环球港授权体验店,上海市,上海市,普陀区,上海市普陀区中山北路3300号B1185商铺,10:00-22:00,021-52919259,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E4%B8%8A%E6%B5%B7%E7%8E%AF%E7%90%83%E6%B8%AF%E6%8E%88%E6%9D%83%E4%BD%93%E9%AA%8C%E5%BA%97-20240109180031.png,True,True,False,ARS,6,31.232174,121.412625,31.232174,121.412625
A0400262,柳州万象城授权体验店,广西壮族自治区,柳州市,鱼峰区,广西壮族自治区柳州市鱼峰区万象城L1层111商铺,"周一至周五:10:00~22:00
周六至周日:10:00~22:30",0772-5050115,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/2-20241101145231.png,True,True,False,ARS,6,24.322788,109.449014,24.322788,109.449014
A0800283,南阳大域无疆鸿德广场授权体验专区,河南省,南阳市,卧龙区,人民路中心广场西侧鸿德步行街DJI官方授权店,8:30~18:00,16639988801,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20240118142338-20240118142345.jpg,True,True,False,New type of lighting material,7,32.998249,112.540611,32.998249,112.540611
60000772,温州印象城授权体验店,浙江省,温州市,鹿城区,浙江省温州市鹿城区南汇街道府东路333号温州印象城商业中心D29-L1-25号,10:00-22:00,0577-86081787,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%B8%A9%E5%B7%9E%E5%8D%B0%E8%B1%A1%E5%9F%8E%E6%8E%88%E6%9D%83%E4%BD%93%E9%AA%8C%E5%BA%97-20240109175229.png,True,True,False,ARS,6,31.06048,121.22252,31.06048,121.22252
60002534,深圳深业上城授权体验专区,广东省,深圳市,福田区,深圳市福田区皇岗路5001号深业上城(南区)一期商业L1层中庭体验专区,10:00-22:00,"0755-23488157,18925204730",,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_1478_06-20250902115753.jpeg,True,True,False,ARS,7,22.558768,114.065228,22.558768,114.065228
A0400297,广州凯德乐峰广场授权体验店,广东省,广州市,海珠区,广东省广州市海珠区工业大道北106-108号乐峰广场B1-S31/S32,10:00~22:00,13316111813；020-34479460,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E7%9F%B3%E5%87%AF%E9%AA%8F-20230114113004.png,True,True,False,ARS,6,23.054782,113.762701,23.054782,113.762701
A1000369,成都迪比特A世界照材店,四川省,成都市,武侯区,一环路南2段17号,9:30~18:00,13980818679,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%88%90%E9%83%BD%E8%BF%AA%E6%AF%94%E7%89%B9-%E5%BC%A0%E5%9B%BD%E9%93%B6-20230309170233.png,True,True,False,New type of lighting material,7,30.63994,104.07379,30.63994,104.07379
A1000753,淄博实在人利群授权体验专区,山东省,淄博市,张店区,山东省淄博市张店区金晶大道与商场东路交叉口利群购物广场一楼,9:00-20:00,15695412502,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/2-20250520170056.png,True,True,False,New type of lighting material,7,36.800046,118.054602,36.800046,118.054602
A0400244,宁波万象汇授权体验店,浙江省,宁波市,鄞州区,浙江省宁波市鄞州区钱湖北路267号宁波万象汇商场一层L124铺位,10:00-22:00,0574-88089907,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%AE%81%E6%B3%A2%E4%B8%87%E8%B1%A1%E6%B1%87%E6%8E%88%E6%9D%83%E4%BD%93%E9%AA%8C%E5%BA%97-20240109105431.png,True,True,False,ARS,6,29.833625,121.568034,29.833625,121.568034
60026166,武汉武昌万象城授权体验店,湖北省,武汉市,武昌区,湖北省武汉市武昌区和平大道619号武昌万象城一楼L1018铺位,10:00-22:00,"027-86611167,17786469361",licheng@mc2.cn,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/1-20241219190048.png,True,True,False,ARS,6,30.590735,114.332437,30.590735,114.332437
60016611,天津西青大悦汇授权体验店,天津市,天津市,西青区,天津市西青区西青大悦汇A馆1F-19,10:00-22:00,13132019943,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%A4%A9%E6%B4%A5-20240927104034.png,True,True,False,ARS,6,39.140439,117.090734,39.140439,117.090734
60000498,苏州久光百货专营店,江苏省,苏州市,吴中区,江苏省苏州市吴中区旺墩路268号久光百货一楼1A-M07C+D,10:00-21:40,18913798042,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E8%8B%8F%E5%B7%9E%E4%B9%85%E5%85%89%E7%99%BE%E8%B4%A7-20230308102817.png,True,True,False,New type of lighting material,7,31.322684,120.715926,31.322684,120.715926
AD101414,福州懿昇长鸿数码授权体验专区,福建省,福州市,鼓楼区,福州市鼓楼区津泰路18号,周一至周日09:00-21:00,0591-88595329,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/image%20(1)-20251030143926.png,True,True,False,New type of lighting material,7,26.08129,119.301044,26.08129,119.301044
A0100104,东莞民盈国贸授权体验店,广东省,东莞市,东城街道,广东省东莞市东城街道鸿福路200号民盈国贸城一楼1038A-B铺,"周日~周四10:00~22:00,周五周六10:00~22:30",18824337951,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E4%B8%9C%E8%8E%9E%E6%B0%91%E7%9B%88-20240301103144.png,True,True,False,ARS,6,23.012531,113.759478,23.012531,113.759478
A0400061,西安大智无疆百瑞未来城照材店,陕西省,西安市,碑林区,雁塔路中段58号百瑞未来城一楼A-1-13,9:00~19:00,15389189838,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E8%A5%BF%E5%AE%89%E7%99%BE%E7%91%9E-%E5%AD%99%E4%B8%89%E5%88%9A-20230309170845.png,True,True,False,New type of lighting material,7,34.232886,108.963372,34.232886,108.963372
60020021,银川新百中心授权体验店,宁夏回族自治区,银川市,兴庆区,宁夏省银川市兴庆区新华东街97号新华百货新百中心第一层001CF1013号商铺,10:00-22:00,17752318448,17752318448@189.com,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/2-20241009145134.png,True,True,False,ARS,6,38.46,106.28,38.46,106.28
A0400314,中山大信新都汇授权体验店,广东省,中山市,石岐区街道,广东省中山市石岐区莲员东路2号大信新都汇B座首层1FA16号大疆体验店,"周日~周四10:00~22:00 ,周五周六10:00~22:30",19966323367,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/2-20250911152054.png,True,True,False,ARS,6,22.532876,113.382649,22.532876,113.382649
60032040,郑州郑东万象城授权体验店,河南省,郑州市,金水区,河南省郑州市金水区金水东路与东风南路交叉口郑东万象城北区2楼L229大疆,10:00-22:00,18637155616,18637155616,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/2-20250630115718.png,True,True,False,ARS,6,34.46,113.453,34.46,113.453
A1000390,深圳万象天地授权高级体验店,广东省,深圳市,南山区,深圳市南山区粤海街道大冲社区深南大道9668号万象天地5楼 SL520 DJI大疆店,"周日~周四:10:00~22:00   
周五~周六:10:00~22:30","0755-26830882,19928704377",,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_418_06-20250310151656.jpeg,True,True,False,ARS,6,22.542026,113.95578,22.542026,113.95578
60023500,广州美林天地授权体验店,广东省,广州市,天河区,广东省广州市天河区黄埔大道东663号美林M·LIVE天地1F019号,10:00-22:00,"19076044930,020-31600914",285518511@qq.com,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/1-20241113104310.png,True,True,False,ARS,6,23.111332,113.422533,23.111332,113.422533
A1000701,武汉金明华广埠屯照材售点,湖北省,武汉市,洪山区,湖北省武汉市洪山区珞喻路312号附3,9:30-20:00,13720219561,1196154139@qq.com,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/1-20250217193257.png,True,True,False,New type of lighting material,7,30.528197,114.371019,30.528197,114.371019
60024420,漯河倚天昌建外滩照材店,河南省,漯河市,源汇区,河南省漯河市源汇区滨河路与交通路交叉口昌建外滩3#楼103,9:00-18:30,19903954313,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/1-20241202194433.png,True,True,False,New type of lighting material,7,33.578399,114.038447,33.578399,114.038447
60015636,郑州机场授权体验专区,河南省,郑州市,新郑市,河南省郑州市新郑国际机场T2航站楼三层候机厅236登机口,8：30-21:30,13140066677,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_2279_07-20251110170608.png,True,True,False,ARS,7,34.517952,113.867607,34.517952,113.867607
A1000569,沈阳嘉信创达东软电脑城照材店,辽宁省,沈阳市,和平区,辽宁省沈阳市和平区三好街东软电脑城1A098,9:00~17:00,13704030267,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E4%B8%9C%E8%BD%AF-20230504212217.png,True,True,False,New type of lighting material,7,41.767197,123.42744,41.767197,123.42744
A0400370,武汉宜家荟聚授权体验店,湖北省,武汉市,硚口区,湖北省武汉市硚口区园博大道1号武汉荟聚中心02B04铺位,周一至周日10:00~22:00,027-83237580,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%AD%A6%E6%B1%89%E5%AE%9C%E5%AE%B6%E8%8D%9F%E8%81%9A%E6%8E%88%E6%9D%83%E4%BD%93%E9%AA%8C%E5%BA%97-20240109180908.png,True,True,False,ARS,6,30.616706,114.166393,30.616706,114.166393
60016603,泉州中骏授权体验店,福建省,泉州市,丰泽区,福建省泉州市丰泽区安吉南路869号中骏世界城M135单元商铺,10:00-22:00,"18900387675,0595-22017580",15080070152@163.com,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_1345_06-20250818161544.png,True,True,False,ARS,6,24.921936,118.653347,24.921936,118.653347
A0300012,DJI 大疆|哈苏 武汉武商MALL概念店,湖北省,武汉市,江汉区,湖北省武汉市江汉区解放大道690号武商MALL商场C座3楼C3-5铺位,周一至周日10:00~22:00,15927441545,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_881_06-20241216160258.jpeg,True,True,False,ARS,5,30.58003,114.27034,30.58003,114.27034
AD101397,杭州索通贸易省家电照材店,浙江省,杭州市,上城区,杭州上城区秋涛北路128号一楼B26-B28,10:00-22:00,13666626330,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/2-20241022193554.png,True,True,False,New type of lighting material,7,30.268577,120.201927,30.268577,120.201927
60028950,DJI 大疆|哈苏 深圳机场概念店,广东省,深圳市,宝安区,深圳市宝安区宝安国际机场T3航站楼3F国内出发层 3C-04-04、3C-04-05、3C-04-06,07:00-22:00,18948798619,fengwenli@hengweixin.com.cn,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%B7%B1%E5%9C%B3%E6%9C%BA%E5%9C%BA-20250429112634.jpeg,True,True,False,ARS,5,22.627994,113.806732,22.627994,113.806732
A0400302,上海浦东嘉里授权体验店,上海市,上海市,浦东新区,上海市浦东新区花木路1378号浦东嘉里城2层L219B,10:00~22:00,021-58586906,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E4%B8%8A%E6%B5%B7%E6%B5%A6%E4%B8%9C%E5%98%89%E9%87%8C%E6%8E%88%E6%9D%83%E4%BD%93%E9%AA%8C%E5%BA%97-20240109180216.png,True,True,False,ARS,6,31.215321,121.563246,31.215321,121.563246
A1000509,无锡香榭花园照材售点,江苏省,无锡市,梁溪区,江苏省无锡市梁溪区县前西街238号,9:00~17:30,0510-82300336;13921285677,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20240126105125-20240126105558.jpg,True,True,False,New type of lighting material,7,31.587483,120.294453,31.587483,120.294453
60036231,莆田城厢万达授权体验店,福建省,莆田市,城厢区,福建省莆田市城厢区霞林街道荔华东大道8号莆田万达广场1022B、1023号铺位,10:00-22:00,"0594-2997616,18950720359",1002138399@qq.com,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_1669_04-20250923193458.jpeg,True,True,False,ARS,6,25.419062,118.994261,25.419062,118.994261
A1000696,德州影友万达金街授权体验专区,山东省,德州市,德城区,山东省德州市新河路与东地南大街交叉口西30米万达南广场22-16DJI大疆,8:30~18:00,18605340919,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%BE%B7%E5%B7%9E%E5%BD%B1%E5%8F%8B-20230319184355.png,True,True,False,New type of lighting material,7,37.444297,116.310099,37.444297,116.310099
A0400313,长沙宜家荟聚授权体验店,湖南省,长沙市,岳麓区,长沙市岳麓区洋湖路253号荟聚1F02T,周一至周日10:00~22:00,0731-85860578,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E9%95%BF%E6%B2%99%E5%AE%9C%E5%AE%B6%E8%8D%9F%E8%81%9A%E6%8E%88%E6%9D%83%E4%BD%93%E9%AA%8C%E5%BA%97-20240109181913.png,True,True,False,ARS,6,28.12323,112.945451,28.12323,112.945451
A1000396,喀什华鑫盛腾人民西路照材售点,新疆维吾尔自治区,喀什地区,喀什市,喀什市金座数码广场101号,10:00~20:00,"13369899308,18806007053",,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/GTScreenshot_20240130_115116-20240130115123.png,True,True,False,New type of lighting material,7,39.466854,75.974536,39.466854,75.974536
A400335,福州东百中心授权体验店,福建省,福州市,鼓楼区,福建省福州市鼓楼区八一七北路128号东百中心C2馆C2-102,10:00~22:00,"13306922779,0591-83721923",,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_1174_06-20250724193817.jpeg,True,True,False,ARS,6,26.086423,119.295105,26.086423,119.295105
A400336,保定北国先天下授权体验店,河北省,保定市,竞秀区,河北省保定市竞秀区朝阳北大街799号先天下1F东中庭扶梯旁L166,10:00~2100,19312584666,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E4%BF%9D%E5%AE%9A%E5%8C%97%E5%9B%BD%E5%85%88%E5%A4%A9%E4%B8%8B%E6%8E%88%E6%9D%83%E4%BD%93%E9%AA%8C%E5%BA%97-20240315133552.png,True,True,False,ARS,6,38.890178,115.468745,38.890178,115.468745
A0400091,台州悦新电子数码城照材售点,浙江省,台州市,路桥区,"浙江省台州市路桥区台州电子数码城一层1E08,1E09室",9:00-17:00,13306570175,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%8F%B0%E5%B7%9E%E6%82%A6%E6%96%B0-%E5%BA%97%E9%95%BF%E4%BC%81%E5%BE%AE%E4%BA%8C%E7%BB%B4%E7%A0%81-20240529134746.jpg,True,True,False,New type of lighting material,7,28.595995,121.37646,28.595995,121.37646
A0500030,石家庄小林数码美城大厦照材店,河北省,石家庄市,桥西区,河北省石家庄市桥西区裕华路休门街交口美城大厦底商小林数码,周一至周日08:30-18:00,0311-86082345，13931893911,47285675@qq.com,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/2-20250409114751.jpg,True,True,False,New type of lighting material,7,38.048088,114.479007,38.048088,114.479007
A1000758,北京锐度神舟大厦照材店,北京市,北京市,延庆区,北京市海淀区神舟大厦东侧底商,9.30-17：30,13801304776,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E9%94%90%E5%BA%A6-20240814211901.png,True,True,False,New type of lighting material,7,39.952849,116.330423,39.952849,116.330423
A0300015,北京王府井APM授权高级体验店,北京市,北京市,东城区,北京市东城区王府井大街138号apm购物中心B区L205,10:00~22:00,18611680060,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E7%8E%8B%E5%BA%9C%E4%BA%95-20240819202959.jpeg,True,True,False,ARS,6,39.914466,116.411713,39.914466,116.411713
A1000061,南京环龙熙南里照材店,江苏省,南京市,玄武区,江苏省南京市秦淮区熙南里大板巷75号,09:00~22:00,18651615155,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%8D%97%E4%BA%AC%E7%8E%AF%E9%BE%99-20230318011843.png,True,True,False,New type of lighting material,7,32.049342,118.793591,32.049342,118.793591
A0400333,DJI 大疆|哈苏 哈尔滨卓展概念店,黑龙江省,哈尔滨市,道里区,黑龙江省哈尔滨市道里区上海街99号卓展购物中心B座1-006,10:00~21:00,18246126256,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%A4%A7%E7%96%86-%E7%94%B0%E8%8B%B1%E5%A8%9C%EF%BC%88%E5%93%88%E5%B0%94%E6%BB%A8%E5%8D%93%E5%B1%95%E5%BA%97%EF%BC%89-20230116113231.png,True,True,False,ARS,5,45.757727,126.605634,45.757727,126.605634
60015401,沧州吾悦广场授权体验店,河北省,沧州市,运河区,河北省沧州市运河区永安南大道与海河路交口吾悦广场1F -1026号,"""周一至周四10:00-21:30 周五至周日10:00-22:00""",19041772363,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%B2%A7%E5%B7%9E%E5%90%BE%E6%82%A6-20240719102449.png,True,True,False,ARS,6,38.27912,116.834854,38.27912,116.834854
A400318,贵阳逸天城授权体验店,贵州省,贵阳市,南明区,贵阳市南明区市南路42号，保利国贸逸天城1F129号（直梯旁）,10:00~22:00,0851-85516139,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%BD%AD%E5%BC%A0%E5%85%83-%EF%BC%88%E8%B4%B5%E9%98%B3%E9%80%B8%E5%A4%A9%E5%9F%8E%E6%8E%88%E6%9D%83%E4%BD%93%E9%AA%8C%E5%BA%97%EF%BC%89-20230115121838.png,True,True,False,ARS,6,26.562751,106.72335,26.562751,106.72335
A0400329,拉萨柳梧万达授权体验店,西藏自治区,拉萨市,曲水县,西藏自治区拉萨市柳梧新区柳梧万达广场一楼1022商铺（近二号门）,"周日-周四11:00-22:00,周五-周六11:00-22:30",13298910080,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%9E%97%E6%80%9D-%EF%BC%88%E6%8B%89%E8%90%A8%E6%9F%B3%E6%A2%A7%E4%B8%87%E8%BE%BE%E5%B9%BF%E5%9C%BA%E5%BA%97%EF%BC%89-20230115121429.png,True,True,False,ARS,6,29.563808,91.03095,29.563808,91.03095
A1000715,兰州联盛畅想东岗西路照材售点,甘肃省,兰州市,城关区,兰州市城关区渭源路34号,9:00~18:00,15693253771,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/GTScreenshot_20240122_104533-20240122104601.png,True,True,False,New type of lighting material,7,36.055121,103.869673,36.055121,103.869673
A0400010,福州福莱大利嘉城专营店,福建省,福州市,台江区,福州市台江区五一中路169号大利嘉A1-2,9:00~19:00,0591-83355614,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E7%A6%8F%E5%BB%BA%E6%98%93%E9%A3%9E-%E5%90%B4%E6%B4%9B%E6%96%B0-20230323183700.png,True,True,False,New type of lighting material,7,26.068324,119.313596,26.068324,119.313596
60037313,宁波环球银泰城授权体验店,浙江省,宁波市,鄞州区,浙江省宁波市鄞州区天童南路 1088 号环球银泰城 1F 108号商铺,周一至周四10：00-21：30，周五至周日10：00-22：00,18158261271,laiyiping@mc2.cn,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E8%B5%96%E4%B9%89%E8%90%8D-20251117143738.png,True,True,False,ARS,6,29.8,121.55,29.8,121.55
60000796,天津恒隆广场授权体验店,天津市,天津市,和平区,天津市和平区兴安路166号恒隆广场1012B,10:00-22:00,18102128015,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%A4%A9%E6%B4%A5%E6%81%92%E9%9A%86-20230901114141.png,True,True,False,ARS,6,39.127278,117.192052,39.127278,117.192052
60033829,蚌埠银泰授权体验店,安徽省,蚌埠市,蚌山区,安徽省蚌埠市蚌山区东海大道4000号1FA1021,周一至周日 10：00-22：00,"0552-2060708,17755280788",616312693@qq.com,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/2-20250812165648.png,True,True,False,ARS,6,32.91629,117.368119,32.91629,117.368119
A0400308,泰州万象城授权体验店,江苏省,泰州市,海陵区,江苏省泰州市海陵区永定东路399号泰州华润万象城二期L1层B119b号,"周日~周四10:00~21:30,周五~周六10:00~22:00",0523-85688858,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_4-20250124105304.jpeg,True,True,False,ARS,6,32.441973,119.923799,32.441973,119.923799
A400323,上海五角场万达授权体验店,上海市,上海市,杨浦区,杨浦区五角场街道万达c区1203大疆,10:00~22:00,021-35073360,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E4%B8%8A%E6%B5%B7%E4%BA%94%E8%A7%92%E5%9C%BA%E4%B8%87%E8%BE%BE%E6%8E%88%E6%9D%83%E4%BD%93%E9%AA%8C%E5%BA%97-20240109175533.png,True,True,False,ARS,6,31.302669,121.516116,31.302669,121.516116
60001010,DJI大疆 深圳旗舰店,广东省,深圳市,南山区,深圳市南山区沙河街道东方社区滨海大道2008号旅游信息中心1层,"""周日至周四10:00-22:00 周五至周六10:00-22:30""",17722495770,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_1356_06-20250820163304.jpeg,True,True,False,ARS,4,22.525966,113.98897,22.525966,113.98897
60037311,中山海雅缤纷天地授权体验店,广东省,中山市,南头镇,广东省中山市南头镇南头大道东3号海雅缤纷广场一楼L107号铺,10:00-22:00,18576228913,617196485@qq.com,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%86%BC%E6%96%87%E9%BE%99-20251117141240.png,True,True,False,ARS,6,22.72,113.31,22.72,113.31
