business_area_id,key,name_raw,amap_id,adcode,province_code,city_code,district_code,province_name,city_name,district_name,center_lat,center_lng,mall_count,store_count,name
26,532622,嘉禾路,532622,532622,530000,532600,532622,云南省,文山壮族苗族自治州,砚山县,23.612828000000004,104.34453499999998,3,6,嘉禾路商圈
27,532625,信合路,532625,532625,530000,532600,532625,云南省,文山壮族苗族自治州,马关县,23.014534,104.39769099999998,1,4,信合路商圈
28,530113,白云街,530113,530113,530000,530100,530113,云南省,昆明市,东川区,26.071617,103.186106,1,0,白云街商圈
29,530102,红云,530102,530102,530000,530100,530102,云南省,昆明市,五华区,25.105583000000014,102.72676099999991,8,43,红云商圈
30,530114,吴家营,530114,530114,530000,530100,530114,云南省,昆明市,呈贡区,24.892926874999997,102.8444041875,3,13,吴家营销圈
31,530181,连然,530181,530181,530000,530100,530181,云南省,昆明市,安宁市,24.921778000000007,102.48203300000004,9,16,连然商圈
32,530111,东站,530111,530111,530000,530100,530111,云南省,昆明市,官渡区,25.01739312328765,102.74111384931523,15,131,东站商圈
33,530124,永定,530124,530124,530000,530100,530124,云南省,昆明市,富民县,25.217705,102.499285,1,1,永定商圈
34,530129,仁德,530129,530129,530000,530100,530129,云南省,昆明市,寻甸回族彝族自治县,25.559299000000003,103.259724,4,5,仁德商圈
35,530126,鹿阜,530126,530126,530000,530100,530126,云南省,昆明市,石林彝族自治县,24.759646,103.27388399999997,3,8,鹿阜商圈
36,530128,屏山,530128,530128,530000,530100,530128,云南省,昆明市,禄劝彝族苗族自治县,25.551301,102.469022,2,3,屏山商圈
37,530802,茶城大道,530802,530802,530000,530800,530802,云南省,普洱市,思茅区,22.784876,100.977888,5,5,茶城大道商圈
38,530828,东朗路,530828,530828,530000,530800,530828,云南省,普洱市,澜沧拉祜族自治县,22.554804,99.931526,1,2,东朗路商圈
39,530825,恩水路,530825,530825,530000,530800,530825,云南省,普洱市,镇沅彝族哈尼族拉祜族自治县,24.005932,101.108781,2,0,恩水路商圈
40,530381,双龙,530381,530381,530000,530300,530381,云南省,曲靖市,宣威市,26.22961900000001,104.10496600000005,3,12,双龙商圈
41,530325,建设路,530325,530325,530000,530300,530325,云南省,曲靖市,富源县,25.670185,104.255414,2,2,建设路商圈
42,530302,文昌,530302,530302,530000,530300,530302,云南省,曲靖市,麒麟区,25.48963000000002,103.79542500000002,15,45,文昌商圈
43,532322,振兴路,532322,532322,530000,532300,532322,云南省,楚雄彝族自治州,双柏县,24.686382,101.638235,3,0,振兴路商圈
44,532326,环城东路,532326,532326,530000,532300,532326,云南省,楚雄彝族自治州,大姚县,25.725747000000002,101.325186,2,3,环城东路商圈
45,532325,西正街,532325,532325,530000,532300,532325,云南省,楚雄彝族自治州,姚安县,25.506411,101.237468,1,3,西正街商圈
46,530427,桂山,530427,530427,530000,530400,530427,云南省,玉溪市,新平彝族傣族自治县,24.068373000000005,101.991124,3,6,桂山商圈
47,530425,龙泉,530425,530425,530000,530400,530425,云南省,玉溪市,易门县,24.668410999999995,102.166997,2,4,龙泉商圈
48,530403,大街,530403,530403,530000,530400,530403,云南省,玉溪市,江川区,24.290388000000004,102.751308,4,4,大街商圈
49,530423,环城北路,530423,530423,530000,530400,530423,云南省,玉溪市,通海县,24.113256999999994,102.75708800000001,10,5,环城北路商圈
50,532501,金湖南路,532501,532501,530000,532500,532501,云南省,红河哈尼族彝族自治州,个旧市,23.36329836363637,103.15640481818181,6,5,金湖南路商圈
51,532524,朝阳北路,532524,532524,530000,532500,532524,云南省,红河哈尼族彝族自治州,建水县,23.6161648,102.8202163,8,2,朝阳北路商圈
52,532502,东风路,532502,532502,530000,532500,532502,云南省,红河哈尼族彝族自治州,开远市,23.711145999999992,103.24401600000004,7,8,东风路商圈
53,532527,环城西路,532527,532527,530000,532500,532527,云南省,红河哈尼族彝族自治州,泸西县,24.529890999999996,103.76261500000001,4,7,环城西路商圈
54,532525,焕文路,532525,532525,530000,532500,532525,云南省,红河哈尼族彝族自治州,石屏县,23.71535,102.485507,2,6,焕文路商圈
55,532822,景管路,532822,532822,530000,532800,532822,云南省,西双版纳傣族自治州,勐海县,21.957908,100.44946599999999,2,1,景管路商圈
56,532801,宣慰大道,532801,532801,530000,532800,532801,云南省,西双版纳傣族自治州,景洪市,22.00500145454547,100.78878993939394,16,17,宣慰大道商圈
57,533401,阳塘路,533401,533401,530000,533400,533401,云南省,迪庆藏族自治州,香格里拉市,27.827475,99.709861,2,3,阳塘路商圈
58,150929,新华街,150929,150929,150000,150900,150929,内蒙古自治区,乌兰察布市,四子王旗,41.522752,111.70313,5,3,新华街商圈
59,150926,解放路,150926,150926,150000,150900,150926,内蒙古自治区,乌兰察布市,察哈尔右翼前旗,40.785529,113.21201,1,1,解放路商圈
60,150302,新华西街,150302,150302,150000,150300,150302,内蒙古自治区,乌海市,海勃湾区,39.66657899999999,106.81985200000003,8,10,新华西街商圈
61,152201,乌兰西街,152201,152201,150000,152200,152201,内蒙古自治区,兴安盟,乌兰浩特市,46.074651799999984,122.07598689999998,10,10,乌兰西街商圈
62,152222,巴仁哲里木大街,152222,152222,150000,152200,152222,内蒙古自治区,兴安盟,科尔沁右翼中旗,45.05823399999999,121.478605,6,5,巴仁哲里木大街商圈
63,150202,和平路,150202,150202,150000,150200,150202,内蒙古自治区,包头市,东河区,40.58742057142859,110.02937919047616,5,16,和平路商圈
64,150203,鞍山道,150203,150203,150000,150200,150203,内蒙古自治区,包头市,昆都仑区,40.661869999999986,109.81790300000007,14,22,鞍山道商圈
65,150204,娜琳王府井,150204,150204,150000,150200,150204,内蒙古自治区,包头市,青山区,40.66898700000001,109.87546599999997,10,18,娜琳商圈
66,150783,正阳,150783,150783,150000,150700,150783,内蒙古自治区,呼伦贝尔市,扎兰屯市,48.00767100000001,122.74071099999999,6,6,正阳商圈
67,150785,河东,150785,150785,150000,150700,150785,内蒙古自治区,呼伦贝尔市,根河市,50.780845,121.530512,4,1,河东商圈
68,150782,兴安中街,150782,150782,150000,150700,150782,内蒙古自治区,呼伦贝尔市,牙克石市,49.286159,120.72616999999998,7,6,兴安中街商圈
69,150722,纳文西大街,150722,150722,150000,150700,150722,内蒙古自治区,呼伦贝尔市,莫力达瓦达斡尔族自治旗,48.47616699999999,124.500037,5,3,纳文西大街商圈
70,150103,中山西路,150103,150103,150000,150100,150103,内蒙古自治区,呼和浩特市,回民区,40.81136999999993,111.66518699999988,21,59,中山西路商圈
71,150102,东风路,150102,150102,150000,150100,150102,内蒙古自治区,呼和浩特市,新城区,40.83015871666662,111.69922696111136,30,150,东风路商圈
72,150823,天义,150823,150823,150000,150800,150823,内蒙古自治区,巴彦淖尔市,乌拉特前旗,40.72514324999999,108.650874625,7,9,天义商圈
73,150826,三禾,150826,150826,150000,150800,150826,内蒙古自治区,巴彦淖尔市,杭锦后旗,40.888073000000006,107.14597099999999,6,7,三禾商圈
74,150423,荟福路,150423,150423,150000,150400,150423,内蒙古自治区,赤峰市,巴林右旗,43.528470000000006,118.68252400000003,6,1,荟福路商圈
75,150430,新西街,150430,150430,150000,150400,150430,内蒙古自治区,赤峰市,敖汉旗,42.286888,119.90364200000002,5,4,新西街商圈
76,150404,向阳,150404,150404,150000,150400,150404,内蒙古自治区,赤峰市,松山区,42.28393768518519,118.93652577777787,21,33,向阳商圈
77,150426,新华街,150426,150426,150000,150400,150426,内蒙古自治区,赤峰市,翁牛特旗,42.935697,119.01192300000001,5,6,新华街商圈
78,150421,天山路,150421,150421,150000,150400,150421,内蒙古自治区,赤峰市,阿鲁科尔沁旗,43.878657999999994,120.09570699999998,7,3,天山路商圈
79,150525,奈曼大街,150525,150525,150000,150500,150525,内蒙古自治区,通辽市,奈曼旗,42.847429,120.66063200000004,12,3,奈曼大街商圈
80,150524,库伦,150524,150524,150000,150500,150524,内蒙古自治区,通辽市,库伦旗,42.735008,121.773202,1,0,库伦商圈
81,150526,长江路,150526,150526,150000,150500,150526,内蒙古自治区,通辽市,扎鲁特旗,44.552146,120.90595800000004,10,3,长江路商圈
82,150502,东顺路,150502,150502,150000,150500,150502,内蒙古自治区,通辽市,科尔沁区,43.620978052631585,122.27009105263168,19,38,东顺路商圈
83,150521,文化路,150521,150521,150000,150500,150521,内蒙古自治区,通辽市,科尔沁左翼中旗,44.126671,123.314961,4,1,文化路商圈
84,150581,振兴路,150581,150581,150000,150500,150581,内蒙古自治区,通辽市,霍林郭勒市,45.531271,119.65614000000002,5,3,振兴路商圈
85,150602,天骄北路,150602,150602,150000,150600,150602,内蒙古自治区,鄂尔多斯市,东胜区,39.82832400000004,109.98086599999993,18,54,天骄北路商圈
86,150622,兴隆,150622,150622,150000,150600,150622,内蒙古自治区,鄂尔多斯市,准格尔旗,39.811206749999975,111.14885174999992,16,16,兴隆商圈
87,150621,白塔,150621,150621,150000,150600,150621,内蒙古自治区,鄂尔多斯市,达拉特旗,40.394892000000006,110.005484,3,7,白塔商圈
88,150624,乌仁都西街,150624,150624,150000,150600,150624,内蒙古自治区,鄂尔多斯市,鄂托克旗,39.09457,107.98584500000001,6,2,乌仁都西街商圈
89,152531,龙泽南街,152531,152531,150000,152500,152531,内蒙古自治区,锡林郭勒盟,多伦县,42.20469500000001,116.48384999999999,2,6,龙泽南街商圈
90,152527,解放大街,152527,152527,150000,152500,152527,内蒙古自治区,锡林郭勒盟,太仆寺旗,41.895244,115.28582400000002,4,3,解放大街商圈
91,152524,赛汉大街,152524,152524,150000,152500,152524,内蒙古自治区,锡林郭勒盟,苏尼特右旗,42.746441,112.656513,2,4,赛汉大街商圈
92,152526,巴拉嘎尔街,152526,152526,150000,152500,152526,内蒙古自治区,锡林郭勒盟,西乌珠穆沁旗,44.584324,117.61373899999998,5,0,巴拉嘎尔街商圈
93,152502,锡林大街,152502,152502,150000,152500,152502,内蒙古自治区,锡林郭勒盟,锡林浩特市,43.95419,116.09131900000008,7,21,锡林大街商圈
94,152921,巴彦浩特新华,152921,152921,150000,152900,152921,内蒙古自治区,阿拉善盟,阿拉善左旗,38.834095,105.676926,2,1,巴彦浩特商圈
95,110101,东单,110101,110101,110000,110100,110101,北京市,北京城区,东城区,39.91207170948014,116.43013155963295,33,294,东单商圈
96,110106,马家堡村,110106,110101,110000,110100,110101,北京市,北京城区,东城区,39.85392488612099,116.3422210427047,25,256,马家堡商圈
97,110117,兴谷,110117,110117,110000,110100,110117,北京市,北京城区,平谷区,40.159695000000035,117.12528999999998,10,26,兴谷商圈
98,110111,良乡,110111,110111,110000,110100,110111,北京市,北京城区,房山区,39.73817564835166,116.14292860439564,18,73,良乡商圈
99,110114,立水桥,110114,110114,110000,110100,110114,北京市,北京城区,昌平区,40.08774968821299,116.33335936121647,25,238,立水桥商圈
100,110105,姚家园,110105,110105,110000,110100,110105,北京市,北京城区,朝阳区,39.94436447512435,116.48488445771127,20,382,姚家园商圈
101,110108,世纪城,110108,110108,110000,110100,110108,北京市,北京城区,海淀区,39.967886194029894,116.30697574626875,10,124,世纪城商圈
102,110107,石景山,110107,110107,110000,110100,110107,北京市,北京城区,石景山区,39.91246189361703,116.20003600000001,7,40,石景山商圈
103,110102,广安门,110102,110102,110000,110100,110102,北京市,北京城区,西城区,39.90144704761911,116.35223738095223,14,91,广安门商圈
104,110112,通州北关,110112,110112,110000,110100,110112,北京市,北京城区,通州区,39.8941257122302,116.65358289928064,15,124,通州北关商圈
105,110109,门头沟,110109,110109,110000,110100,110109,北京市,北京城区,门头沟区,39.93442210526316,116.10408668421044,8,30,门头沟商圈
106,110113,后沙峪,110113,110113,110000,110100,110113,北京市,北京城区,顺义区,40.11674054666667,116.61681490666658,17,58,后沙峪商圈
107,220282,胜利,220282,220282,220000,220200,220282,吉林省,吉林市,桦甸市,42.97383176923078,126.75067738461536,10,3,胜利商圈
108,220284,东宁,220284,220284,220000,220200,220284,吉林省,吉林市,磐石市,42.948014,126.06005900000001,6,1,东宁商圈
109,220283,北城,220283,220283,220000,220200,220283,吉林省,吉林市,舒兰市,44.38852080000001,126.91626379999998,7,8,北城商圈
110,220204,长春路,220204,220204,220000,220200,220204,吉林省,吉林市,船营区,43.82386300000001,126.51234999999998,3,5,长春路商圈
111,220281,民主,220281,220281,220000,220200,220281,吉林省,吉林市,蛟河市,43.723046,127.34188199999998,5,0,民主商圈
112,220203,铁东,220203,220203,220000,220200,220203,吉林省,吉林市,龙潭区,43.892231,126.618906,1,1,铁东商圈
113,220382,中兴路,220382,220382,220000,220300,220382,吉林省,四平市,双辽市,43.51312900000002,123.506787,10,8,中兴路商圈
114,220302,地直街,220302,220302,220000,220300,220302,吉林省,四平市,铁西区,43.177257000000004,124.35136400000003,2,11,地直街商圈
115,222406,文化,222406,222406,220000,222400,222406,吉林省,延边朝鲜族自治州,和龙市,42.544776,129.011696,2,1,文化商圈
116,222402,向上,222402,222402,220000,222400,222402,吉林省,延边朝鲜族自治州,图们市,42.964982,129.847036,4,0,向上商圈
117,222401,新兴,222401,222401,220000,222400,222401,吉林省,延边朝鲜族自治州,延吉市,42.9078397307692,129.50906519230773,21,31,新兴商圈
118,222404,靖和,222404,222404,220000,222400,222404,吉林省,延边朝鲜族自治州,珲春市,42.873762,130.36992800000002,9,3,靖和商圈
119,220723,宇宙大路,220723,220723,220000,220700,220723,吉林省,松原市,乾安县,45.00459379999999,124.02544479999999,5,5,宇宙大路商圈
120,220721,商贸小区(清真街),220721,220721,220000,220700,220721,吉林省,松原市,前郭尔罗斯蒙古族自治县,45.11358799999999,124.82551199999996,11,24,商贸小区商圈
121,220702,文化路,220702,220702,220000,220700,220702,吉林省,松原市,宁江区,45.17483461290323,124.82868522580647,11,20,文化路商圈
122,220882,长白北街,220882,220882,220000,220800,220882,吉林省,白城市,大安市,45.509032999999995,124.28344199999998,9,2,长白北街商圈
123,220802,步行街,220802,220802,220000,220800,220802,吉林省,白城市,洮北区,45.61787000000001,122.849878,14,11,步行街商圈
124,220881,广昌西路,220881,220881,220000,220800,220881,吉林省,白城市,洮南市,45.337255,122.780751,5,3,广昌西路商圈
125,220822,开通西路,220822,220822,220000,220800,220822,吉林省,白城市,通榆县,44.805325999999994,123.08239,6,3,开通西路商圈
126,220821,凌云东路,220821,220821,220000,220800,220821,吉林省,白城市,镇赉县,45.849454999999985,123.21212199999998,9,3,凌云东路商圈
127,220621,小南街,220621,220621,220000,220600,220621,吉林省,白山市,抚松县,42.330753,127.274307,2,2,小南街商圈
128,220602,建设,220602,220602,220000,220600,220602,吉林省,白山市,浑江区,41.93890860714286,126.42483146428573,12,16,建设商圈
129,220623,长白大街,220623,220623,220000,220600,220623,吉林省,白山市,长白朝鲜族自治县,41.420204,128.201176,3,1,长白大街商圈
130,220421,东风路,220421,220421,220000,220400,220421,吉林省,辽源市,东丰县,42.675631666666675,125.53599633333334,5,4,东风路商圈
131,220402,新华,220402,220402,220000,220400,220402,吉林省,辽源市,龙山区,42.90189899999998,125.14591500000004,16,7,新华商圈
132,220502,江南,220502,220502,220000,220500,220502,吉林省,通化市,东昌区,41.70664699999998,125.93740506666663,10,20,江南商圈
133,220103,长春新区,220103,220113,220000,220100,220113,吉林省,长春市,九台区,43.94240500000005,125.34980033333335,15,54,长春新区商圈
134,220113,曙光,220113,220113,220000,220100,220113,吉林省,长春市,九台区,44.151253,125.82943700000003,10,4,曙光商圈
135,220105,远达大街/远达,220105,220105,220000,220100,220105,吉林省,长春市,二道区,43.91882200000001,125.37592499999994,5,26,远达商圈
136,220184,河北,220184,220184,220000,220100,220184,吉林省,长春市,公主岭市,43.505554,124.811107,9,7,河北商圈
137,220102,清明,220102,220102,220000,220100,220102,吉林省,长春市,南关区,43.864392134715004,125.32979731088062,30,163,清明商圈
138,220112,云山,220112,220112,220000,220100,220112,吉林省,长春市,双阳区,43.521888166666685,125.68146094444442,12,6,云山商圈
139,220183,德惠,220183,220183,220000,220100,220183,吉林省,长春市,德惠市,44.533925449999984,125.70811380000002,8,12,德惠商圈
140,220104,高新开发区,220104,220104,220000,220100,220104,吉林省,长春市,朝阳区,43.821288999999986,125.25753799999998,2,20,高新开发区商圈
141,220182,城郊,220182,220182,220000,220100,220182,吉林省,长春市,榆树市,44.827955999999986,126.55275499999999,8,10,城郊商圈
142,511124,研城镇,511124,511124,510000,511100,511124,四川省,乐山市,井研县,29.653267000000003,104.067276,5,4,研城镇商圈
143,511126,建设中路,511126,511126,510000,511100,511126,四川省,乐山市,夹江县,29.738734,103.573564,1,0,建设中路商圈
144,511132,峨边县核心区域,511132,511132,510000,511100,511132,四川省,乐山市,峨边彝族自治县,29.229936,103.264123,2,1,峨边县核心区域商圈
145,511011,汉安大道,511011,511011,510000,511000,511011,四川省,内江市,东兴区,29.603845999999983,105.05657500000004,6,24,汉安大道商圈
146,511024,南大街,511024,511024,510000,511000,511024,四川省,内江市,威远县,29.525655,104.667451,1,3,南大街商圈
147,511025,滨江路,511025,511025,510000,511000,511025,四川省,内江市,资中县,29.776259,104.844858,3,3,滨江路商圈
148,513424,新华街中段,513424,513424,510000,513400,513424,四川省,凉山彝族自治州,德昌县,27.403415999999996,102.180245,1,5,新华街商圈
149,513435,团结南街,513435,513435,510000,513400,513435,四川省,凉山彝族自治州,甘洛县,28.962944,102.771567,2,0,团结南街商圈
150,513401,胜利南路,513401,513401,510000,513400,513401,四川省,凉山彝族自治州,西昌市,27.89486758974361,102.2501951794872,12,27,胜利南路商圈
151,511302,人民中路,511302,511302,510000,511300,511302,四川省,南充市,顺庆区,30.79340699999995,106.08943799999999,18,50,人民中路商圈
152,511902,后河,511902,511902,510000,511900,511902,四川省,巴中市,巴州区,31.851057162162164,106.77072621621629,14,23,后河商圈
153,510823,翠云大道,510823,510823,510000,510800,510823,四川省,广元市,剑阁县,32.283433,105.52014700000001,2,2,翠云大道商圈
154,511602,金安大道,511602,511602,510000,511600,511602,四川省,广安市,广安区,30.458982360000007,106.63824971999999,5,20,金安大道商圈
155,511622,建设南路,511622,511622,510000,511600,511622,四川省,广安市,武胜县,30.345822,106.29123200000002,2,10,建设南路商圈
156,511623,古邻大道,511623,511623,510000,511600,511623,四川省,广安市,邻水县,30.330966266666675,106.93587433333332,3,12,古邻大道商圈
157,510682,方亭,510682,510682,510000,510600,510682,四川省,德阳市,什邡市,31.12687,104.171474,7,8,方亭商圈
158,510603,扬嘉,510603,510603,510000,510600,510603,四川省,德阳市,旌阳区,31.180034,104.322956,1,0,扬嘉商圈
159,510116,东升,510116,510116,510000,510100,510116,四川省,成都市,双流区,30.55935930147062,104.00060688235295,11,125,东升商圈
160,510129,晋原,510129,510129,510000,510100,510129,四川省,成都市,大邑县,30.579607000000006,103.52815200000002,8,5,晋原商圈
161,510184,崇阳,510184,510184,510000,510100,510184,四川省,成都市,崇州市,30.635294000000012,103.674982,10,19,崇阳商圈
162,510108,驷马桥,510108,510108,510000,510100,510108,四川省,成都市,成华区,30.67684790822795,104.1110632626579,27,289,驷马桥商圈
163,510112,洪河,510112,510108,510000,510100,510108,四川省,成都市,成华区,30.578409714285723,104.23466728571434,11,45,洪河商圈
164,510132,五津街道,510132,510118,510000,510100,510118,四川省,成都市,新津区,30.417695,103.80976799999999,2,8,五津街道商圈
165,510114,新繁,510114,510114,510000,510100,510114,四川省,成都市,新都区,30.838353913043484,104.0467480869565,8,15,新繁商圈
166,510107,跳伞塔,510107,510107,510000,510100,510107,四川省,成都市,武侯区,30.623471333333278,104.07240766666641,20,124,跳伞塔商圈
167,510115,凤溪大道,510115,510115,510000,510100,510115,四川省,成都市,温江区,30.692713875000038,103.84909712499997,14,74,凤溪大道商圈
168,510131,鹤山,510131,510131,510000,510100,510131,四川省,成都市,蒲江县,30.202679999999994,103.51326713333331,6,9,鹤山商圈
169,510183,牟礼村,510183,510183,510000,510100,510183,四川省,成都市,邛崃市,30.407591000000004,103.47670950000003,5,11,牟礼村商圈
170,510117,红光,510117,510117,510000,510100,510117,四川省,成都市,郫都区,30.783531208333283,103.93490004166671,12,84,红光商圈
171,510181,江安路,510181,510181,510000,510100,510181,四川省,成都市,都江堰市,30.97686878571431,103.62957349999992,10,18,江安路商圈
172,510106,金泉,510106,510106,510000,510100,510106,四川省,成都市,金牛区,30.712217999999993,103.99715100000002,3,34,金泉商圈
173,510104,成龙路,510104,510104,510000,510100,510104,四川省,成都市,锦江区,30.59136899999999,104.144289,3,21,成龙路商圈
174,510402,新华,510402,510402,510000,510400,510402,四川省,攀枝花市,东区,26.571269909090905,101.71857209090909,24,20,新华商圈
175,510421,桥东街,510421,510421,510000,510400,510421,四川省,攀枝花市,米易县,26.885007,102.10948399999998,2,5,桥东街商圈
176,510403,河门口,510403,510403,510000,510400,510403,四川省,攀枝花市,西区,26.593287,101.594962,1,0,河门口商圈
177,510502,泸州天远片区,510502,510502,510000,510500,510502,四川省,泸州市,江阳区,28.887762835443045,105.43495649367091,29,50,泸州天远片区商圈
178,513301,沿河东路,513301,513301,510000,513300,513301,四川省,甘孜藏族自治州,康定市,30.049202000000005,101.96412699999999,6,1,沿河东路商圈
179,513337,贡嘎路一段,513337,513337,510000,513300,513337,四川省,甘孜藏族自治州,稻城县,29.038258,100.29797,2,0,贡嘎路一段商圈
180,511402,下西街,511402,511402,510000,511400,511402,四川省,眉山市,东坡区,30.046395542857155,103.83229020000006,7,28,下西街商圈
181,510703,步行街,510703,510703,510000,510700,510703,四川省,绵阳市,涪城区,31.460895161764682,104.75200976470595,16,52,步行街商圈
182,510302,马吃水,510302,510304,510000,510300,510304,四川省,自贡市,大安区,29.330674899999998,104.74836819999999,14,26,马吃水商圈
183,510321,望景路,510321,510321,510000,510300,510321,四川省,自贡市,荣县,29.451494,104.41198499999999,1,6,望景路商圈
184,512002,娇子大道,512002,512002,510000,512000,512002,四川省,资阳市,雁江区,30.125749999999993,104.61747399999996,4,12,娇子大道商圈
185,511781,金缔路,511781,511781,510000,511700,511781,四川省,达州市,万源市,32.06831499999999,108.03830300000001,1,7,金缔路商圈
186,511724,东大街,511724,511724,510000,511700,511724,四川省,达州市,大竹县,30.73360400000001,107.210777,8,6,东大街商圈
187,511702,朝阳西路,511702,511702,510000,511700,511702,四川省,达州市,通川区,31.20281,107.46208500000002,5,9,朝阳西路商圈
188,510923,交通上街,510923,510923,510000,510900,510923,四川省,遂宁市,大英县,30.582575,105.25018,5,6,交通上街商圈
189,510981,伯玉路,510981,510981,510000,510900,510981,四川省,遂宁市,射洪市,30.870377000000005,105.38546199999998,6,12,伯玉路商圈
190,510921,东街,510921,510921,510000,510900,510921,四川省,遂宁市,蓬溪县,30.774667999999995,105.71788300000001,5,1,东街商圈
191,513223,中心大道,513223,513223,510000,513200,513223,四川省,阿坝藏族羌族自治州,茂县,31.680803,103.851687,1,0,中心大道商圈
192,511802,东大街,511802,511802,510000,511800,511802,四川省,雅安市,雨城区,29.984788,103.00143699999998,2,8,东大街商圈
193,120113,双口,120113,120113,120000,120100,120113,天津市,天津城区,北辰区,39.241451777777776,117.1983457777778,4,14,双口商圈
194,120104,华苑,120104,120104,120000,120100,120104,天津市,天津城区,南开区,39.11461476363639,117.12605832727283,10,45,华苑商圈
195,120117,芦台镇,120117,120117,120000,120100,120117,天津市,天津城区,宁河区,39.330936999999984,117.82161999999998,9,11,芦台镇商圈
196,120115,城关,120115,120115,120000,120100,120115,天津市,天津城区,宝坻区,39.718571,117.307726,1,7,城关商圈
197,120114,运河西,120114,120114,120000,120100,120114,天津市,天津城区,武清区,39.40657468000002,117.01562668000003,10,15,运河西商圈
198,120102,太阳城,120102,120102,120000,120100,120102,天津市,天津城区,河东区,39.151616999999995,117.28016499999998,3,8,太阳城商圈
199,120111,梅江,120111,120103,120000,120100,120103,天津市,天津城区,河西区,39.088118516666654,117.13793266666677,11,49,梅江商圈
200,120112,葛沽,120112,120112,120000,120100,120112,天津市,天津城区,津南区,38.98646,117.49529699999997,1,6,葛沽商圈
201,120116,解放路街,120116,120116,120000,120100,120116,天津市,天津城区,滨海新区,39.01616313333333,117.67324673333333,3,12,解放路街商圈
202,120119,上仓,120119,120119,120000,120100,120119,天津市,天津城区,蓟州区,39.954795222222224,117.4376788888889,2,7,上仓商圈
203,120118,西翟庄,120118,120118,120000,120100,120118,天津市,天津城区,静海区,38.81838585714286,117.00643257142858,1,6,西翟庄商圈
