id,mall_code,name,original_name,province_code,city_code,district_code,province_name,city_name,district_name,address,lat,lng,business_area,amap_poi_id,mall_category,mall_level,developer,is_outlet,is_airport_mall,source,store_count,brand_count,brand_score_luxury,brand_score_light_luxury,brand_score_outdoor,brand_score_ev,brand_score_total,data_quality_score,created_at,updated_at,name_norm,admin_match_method,mall_category_method,mall_level_method,location_wkt,business_area_id,developer_group,developer_group_type,developer_confidence,opened_year,mall_lux_segment,mall_price_segment,mall_main_audience,mall_business_mix_type,revenue_bucket_value,revenue_bucket_confidence,revenue_bucket_source_type,evidence,search_snippets,name_core,merge_notes,核心商场
5498,MALL_B06AC466,中环购物中心,中环购物中心,340000,340100,340104,安徽省,合肥市,蜀山区,繁华大道12167号(繁华大道地铁站C口),31.781329,117.208385,桃花,B022715Y2J,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,中环,district_code,keyword_shopping,brand_store_rule,POINT(117.208385 31.781329),1717,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,大众,家庭亲子,均衡,UNKNOWN,low,unknown,,,中环,,0
5499,MALL_C7478B50,北京华联长江西路购物中心,北京华联长江西路购物中心,340000,340100,340104,安徽省,合肥市,蜀山区,长江西路579号(十里庙地铁站C口步行90米),31.854501,117.221509,,B0FFGECE4P,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,北京华联长江西路,district_code,keyword_shopping,brand_store_rule,POINT(117.221509 31.854501),1,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,大众,家庭亲子,均衡,UNKNOWN,low,unknown,,,北京华联长江西路,,0
5500,MALL_F4BEDF05,合肥万象城,合肥万象城,340000,340100,340104,安徽省,合肥市,蜀山区,潜山路111号,31.799481,117.230754,,B02270IR5U,shopping_mall,D,华润置地,False,False,amap,5,5,0,2,0,1,5,85,2025-12-06 03:18:06,2025-12-06 03:18:06,合肥,district_code,keyword_shopping,brand_store_rule,POINT(117.230754 31.799481),1,华润置地,央国企,high,UNKNOWN,轻奢,高端,家庭亲子,零售主导,UNKNOWN,low,unknown,开发商信息来自已知字段，品牌得分含轻奢和新能源汽车，无搜索结果支持其他信息,,合肥万象城,,1
5501,MALL_B9EDD1A5,合肥之心城购物中心,合肥之心城购物中心,340000,340100,340104,安徽省,合肥市,蜀山区,长江西路189号,31.854026,117.257406,三里庵,B0FFFGLHE8,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,合肥之心城,district_code,keyword_shopping,brand_store_rule,POINT(117.257406 31.854026),66,UNKNOWN,UNKNOWN,low,UNKNOWN,轻奢,中高端,青年潮流,均衡,UNKNOWN,low,unknown,,,合肥之心城,,0
5502,MALL_D1609DD2,合肥银泰in77,合肥银泰in77,340000,340100,340104,安徽省,合肥市,蜀山区,祁门路333号(天鹅湖地铁站B口步行290米),31.807815,117.230916,,B0FFIB7N8U,shopping_mall,D,银泰商业,False,False,amap,1,1,0,0,1,0,1,90,2025-12-06 03:18:06,2025-12-06 03:18:06,合肥银泰in77,district_code,typecode_0601,brand_store_rule,POINT(117.230916 31.807815),1,银泰商业,民企头部,medium,UNKNOWN,轻奢,中高端,青年潮流,零售主导,UNKNOWN,low,unknown,品牌计数含轻奢及户外品牌各1，无价格与营收数据,,合肥银泰i,,0
5504,MALL_8EBCE826,国耀星达城,国耀星达城,340000,340100,340104,安徽省,合肥市,蜀山区,宝纶路与丹霞路交叉路口北100米路西,31.77562,117.212106,桃花,B022717Z2P,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,国耀星达城,district_code,keyword_shopping,brand_store_rule,POINT(117.212106 31.77562),1717,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,大众,家庭亲子,均衡,UNKNOWN,low,unknown,,,国耀星达城,,0
5505,MALL_36C4F49C,国购广场,国购广场(长江西路店),340000,340100,340104,安徽省,合肥市,蜀山区,长江西路199号,31.853304,117.256368,三里庵,B022702W5I,shopping_mall,D,,False,False,amap,8,5,0,0,0,0,5,75,2025-12-06 03:18:06,2025-12-06 03:18:06,国购,district_code,keyword_shopping,brand_store_rule,POINT(117.256368 31.853304),66,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,中高端,家庭亲子,均衡,UNKNOWN,low,unknown,品牌总数5个，无重奢/轻奢/户外/EV品牌，推测为快消定位；位于城市主城区，地址为长江西路，推测服务家庭及日常消费；无具体开发信息和营收数据,,国购广场,,0
5506,MALL_B273DD91,大唐国际购物广场,大唐国际购物广场,340000,340100,340104,安徽省,合肥市,蜀山区,潜山路216号(洪岗地铁站4号口步行200米),31.831289,117.232803,望江路,B0227159EB,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,大唐国际,district_code,keyword_shopping,brand_store_rule,POINT(117.232803 31.831289),1629,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,大众,家庭亲子,均衡,UNKNOWN,low,unknown,,,大唐国际购物广场,,0
5507,MALL_4BA0BCB0,天珑广场,天珑广场,340000,340100,340104,安徽省,合肥市,蜀山区,千人桥路与政通环路交叉口西120米,31.801969,117.234204,,B0FFL0CTYF,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,天珑,district_code,keyword_shopping,brand_store_rule,POINT(117.234204 31.801969),1,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,low,unknown,,,天珑广场,,0
5508,MALL_7DF1512B,天珑广场·天珑汇,天珑广场·天珑汇,340000,340100,340104,安徽省,合肥市,蜀山区,潜山路558号,31.802368,117.233463,,B0FFFFQ3O9,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,天珑广场天珑汇,district_code,keyword_shopping,brand_store_rule,POINT(117.233463 31.802368),1,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,大众,家庭亲子,均衡,UNKNOWN,low,unknown,,,天珑广场·天珑汇,,0
