uuid,brand,name,city,token,candidate_mall_id,candidate_mall_name,distance_m,similarity,llm_chosen_mall_id,llm_confidence,llm_reason
2c71a95d-38ef-4d6f-82c7-0422abfc8af6,Hugo Boss,BOSS宁波杉井奥特莱斯,宁波市,BOSS宁波杉井奥特莱斯,MALL_44214D75,杉井奥特莱斯广场·宁波,505.8,70.58823529411764,MALL_44214D75,high,门店名称明确包含'杉井奥特莱斯'，与候选商场'杉井奥特莱斯广场·宁波'完全匹配，且距离最近仅505.8米
abbabf76-d398-4d16-89b8-4cdcabd0d04f,Hugo Boss,BOSS合肥砂之船奥特莱斯,合肥市,BOSS合肥砂之船奥特莱斯,MALL_81E4F39F,砂之船(合肥)奥莱,438.5,62.5,MALL_81E4F39F,high,门店名称明确包含'砂之船奥特莱斯'，与候选商场'砂之船(合肥)奥莱'名称高度匹配，且距离仅438.5米，地址信息一致
3fc77482-85c2-46f8-96f7-7b5c8b1b9e8e,Xiaomi,小米之家天津市武清区京津公路红街专卖店,天津市,杨村街道京津时尚广场,MALL_A98EC014,月佳广场,605.7,66.66666666666667,MALL_ED4FAAC0,high,门店地址明确提到'京津时尚广场'，与雍阳商城地址'京津时尚广场4号'完全匹配，且距离最近仅466.7米
cd4a96db-c70b-41f5-8878-e34a3d890471,Xiaomi,小米之家天津武清区万达广场专卖店,天津市,小米之家天津武清区万达广场,MALL_862B954D,天津武清福源万达广场,775.7,84.21052631578947,MALL_862B954D,high,门店名称明确包含'万达广场'，与候选商场'天津武清福源万达广场'名称高度匹配，且距离最近仅775米
7f94c5d9-f31b-4dc4-9b44-f0eb3976dab3,Xiaomi,小米之家山西长治潞州区金威商城专卖店,长治市,小米之家山西长治潞州区金威商城,MALL_2A973032,佳威商城,639.7,85.71428571428572,none,high,门店地址明确标注为金威商城，但候选商场列表中无金威商城，只有佳威商城（名称相似但不匹配）
20d42760-8eba-4ff6-bb78-9c174c29d322,Xiaomi,小米之家内蒙古包头青山区北京华联购物中心专卖店,包头市,小米之家内蒙古包头青山区北京华联购物中心,MALL_8AAA9975,正翔湾购物中心,759.3,72.72727272727273,none,high,门店地址明确指向北京华联包头购物中心，但候选商场列表中无此商场，无法匹配
9281f07b-0c17-43e4-b025-9f05e73fdffb,Xiaomi,小米之家辽宁沈阳苏家屯区枫杨路苏宁购物广场专卖店,沈阳市,小米之家辽宁沈阳苏家屯区枫杨路苏宁购物广场,MALL_5A0BB604,永盛休闲购物广场,560.0,66.66666666666667,none,high,门店名称和地址明确指向苏宁易购广场，但候选商场中无苏宁相关商场，且现有候选商场的名称与地址均不匹配
0b25d403-8e6e-4438-a789-a001b8bfb631,Xiaomi,小米之家辽宁大连中山区佳兆业广场专卖店,大连市,小米之家辽宁大连中山区佳兆业广场,MALL_DC563963,天和广场,541.2,66.66666666666667,none,medium,门店名称明确提及'佳兆业广场'，但候选商场列表中无匹配商场，距离最近的'天植商城'虽在同一条街上但名称不符
8b7a9308-0606-4100-b325-bbab3cadb33c,Xiaomi,小米之家锦州古塔区锦绣前程购物中心专卖店,锦州市,小米之家锦州古塔区锦绣前程购物中心,MALL_33E3BE43,青山购物中心,438.2,80.0,none,high,门店名称明确提及'锦绣前程购物中心'，但候选商场列表中无此商场，所有候选商场名称均不匹配
4fe64963-d1c6-4743-8076-acef62ff89c2,Xiaomi,小米之家吉林吉林船营区时代购物广场专卖店,吉林市,小米之家吉林吉林船营区时代购物广场,MALL_169709CF,吉林财富购物广场,539.3,66.66666666666667,none,high,门店名称中明确提到'时代购物广场'，但候选商场列表中无此名称的商场，所有候选商场名称与门店信息不匹配
47c0c9e0-8c2a-411b-a656-9031664884e9,Xiaomi,小米之家江苏南京栖霞区燕子矶万象汇专卖店,南京市,小米之家江苏南京栖霞区燕子矶万象汇,MALL_072D26BF,南京城北万象汇,761.6,60.0,MALL_072D26BF,high,门店地址明确包含'南京城北万象汇'，与候选商场名称完全匹配，且地址门牌号(栖霞大道106-108号)与门店地址(栖霞大道108号)高度一致
0ceec7b6-e9ed-49a2-806d-98ea48001726,Xiaomi,小米之家安徽宿州埇桥区苏宁专卖店,宿州市,安徽宿州市埇桥区南关街道安徽省宿州市埇桥区汴河中路苏宁广场,MALL_28D3DB49,国购广场,395.0,66.66666666666667,none,high,门店地址明确提到'苏宁广场'，但候选商场列表中无苏宁广场，所有候选商场均不匹配
7ff0f141-34f8-4df8-9414-f556d94854b8,Xiaomi,小米之家福建莆田市涵江区隆恒财富广场专卖店,莆田市,小米之家福建莆田市涵江区隆恒财富广场,MALL_1A682613,购物广场,377.9,66.66666666666667,none,high,门店名和地址明确指向'隆恒广场'，但候选商场列表中无匹配名称，最近商场'购物广场'名称过于泛化且地址不符
837d2f6a-464c-4b92-8f93-f5b4d2fe38bb,Xiaomi,小米之家江西赣州于都县鹏泰百货专卖店,赣州市,江西赣州市于都县贡江镇江西省赣州市于都县长征大道圣世广场,MALL_A63DFEEE,名盛广场,322.1,66.66666666666667,MALL_A63DFEEE,high,门店地址明确提到位于'圣世广场'，而候选商场中'名盛广场'距离最近（322米），名称与地址中的'圣世广场'高度匹配，且同在赣州市
6f80e7f4-c7eb-4c3b-89bf-8b844062dd6b,Xiaomi,小米之家山东济南历城区山大路通讯街专卖店,济南市,小米之家山东济南历城,MALL_BCA906E8,济南印象城,394.1,66.66666666666667,MALL_BCA906E8,high,距离最近（394米），且门店位于创客公园，与印象城商业定位匹配
4f04a091-b3e9-45a9-b3b7-199656011071,Xiaomi,小米之家山东青岛胶州市利群购物广场专卖店,青岛市,小米之家山东青岛胶州市利群购物广场,MALL_26F281DF,利群胶州购物广场,780.7,85.71428571428572,MALL_26F281DF,high,门店名称明确包含'胶州利群购物广场'，与候选商场'利群胶州购物广场'名称高度匹配，且距离最近仅780米
7d461a29-9243-4d91-a620-e0685a886fb2,Xiaomi,小米之家河南郑州金水区丹尼斯六天地专卖店,郑州市,小米之家河南郑州金水区丹尼斯六天地,MALL_B63979B9,丹尼斯7天地,550.3,83.33333333333334,none,high,门店地址明确指向丹尼斯六天地，但候选列表中只有丹尼斯七天地和五天地，没有六天地，无法匹配
1efc109f-7bee-48e6-84e5-7e4bf6b47d40,Xiaomi,小米之家河南郑州金水区丹尼斯二天地专卖店,郑州市,小米之家河南郑州金水区丹尼斯二天地,MALL_B63979B9,丹尼斯7天地,708.7,83.33333333333334,none,high,门店明确标注位于丹尼斯二天地，但候选商场列表中只有丹尼斯七天地、五天地，没有匹配的丹尼斯二天地
09212301-cbd3-4e44-b175-49fcf66bc77f,Xiaomi,小米之家河南郑州二七区航海路兴华街专卖店,郑州市,升龙城,MALL_0AC0C250,升龙商业广场活力1街,493.4,80.0,MALL_0AC0C250,high,门店地址中的'升龙城'与候选商场'升龙商业广场活力1街'名称高度匹配，且距离最近仅493米
f94272ec-f991-4bd2-bf1d-64e1a5b30391,Xiaomi,小米之家河南洛阳洛龙区宝龙广场专卖店,洛阳市,小米之家河南洛阳洛龙区宝龙广场,MALL_37F6F820,洛阳洛龙宝龙广场B区,738.8,84.21052631578947,MALL_87B77B77,high,门店地址明确位于宝龙城市广场A区，与候选商场POWERLONG的地址完全匹配
15e0906d-db2d-4572-aa9a-75b0dddf2fc1,Xiaomi,小米之家湖北省荆州市监利时代广场专卖店,荆州市,小米之家湖北省荆州市监利时代广场,MALL_13FA982C,天邑广场,611.4,66.66666666666667,none,high,门店名称明确包含'监利时代广场'，但候选商场列表中无匹配名称，最近商场距离虽近但名称不符
1812e794-85c7-4090-9603-09c1656035b6,Xiaomi,小米之家湖南衡阳石鼓区解放路莲湖广场专卖店,衡阳市,小米之家湖南衡阳石鼓区解放路莲湖广场,MALL_6871AA67,潮湖二维码广场,489.5,60.0,MALL_75D96CD0,high,门店名称明确提到'莲湖广场'，且位于解放路194号，与美达·新天地（解放路48号）在同一街道且距离仅516米，地理位置匹配度高
0496c673-8664-4bd3-8582-183faa6c23fb,Xiaomi,小米之家广东惠州惠阳区乐兴购物广场专卖店,惠州市,小米之家广东惠州惠阳区乐兴购物广场,MALL_18F03139,永悦城购物广场,424.3,72.72727272727273,none,high,门店名称明确提及'乐兴购物广场'，但候选商场列表中无此商场，距离最近的永悦城购物广场(424米)名称不匹配
9e301951-d12b-4d88-a167-a1fe1d91da93,Xiaomi,小米之家广东东莞东城街道世博广场专卖店,东莞市,小米之家广东东莞东城,MALL_B6C82ECF,东莞东城万达广场,489.3,66.66666666666667,MALL_B6C82ECF,high,门店地址明确提及'世博广场'，与候选商场中'东莞东城万达广场'距离最近仅489米，且同在'东城街道'区域，匹配度高
f839cc7f-03ef-491f-a30c-8871c1af005b,Xiaomi,小米之家海南海口龙华区友谊商业广场专卖店,海口市,小米之家海南海口龙华区友谊商业广场,MALL_C6C66D94,多宝利商业广场,388.0,72.72727272727273,none,medium,门店名称明确指向'友谊商业广场'，但候选商场列表中无匹配项，最近的商场距离虽近但名称不符
a967ba10-9c22-413e-af7d-b795bd8a01ee,Xiaomi,小米之家重庆万州区福斯德广场电信千耀专区店,重庆市,小米之家重庆万州区福斯德广场,MALL_26F5B3B6,万达广场,387.6,66.66666666666667,none,high,门店地址明确指向福斯德广场，但候选商场列表中无此商场，且其他商场名称均不匹配
51863e40-8526-4e15-be57-9e25fae6cbd4,Xiaomi,小米之家重庆黔江区小广场专卖店,重庆市,小米之家重庆黔江区小广场,MALL_3E40E977,小时代广场,496.3,75.0,MALL_3E40E977,high,门店名称含'小广场'，候选商场'小时代广场'名称高度匹配且距离最近（496米）
8db0a96f-ffbb-41cb-94fe-166194c39e1e,Xiaomi,小米之家重庆万州区福斯德广场专卖店,重庆市,小米之家重庆万州区福斯德广场,MALL_26F5B3B6,万达广场,400.1,66.66666666666667,MALL_4C6F209D,high,门店地址为太白路99号福斯德广场，与候选商场'摩登·星乐荟'地址太白路94号位置最为接近，且名称中的'福斯德广场'与'星乐荟'可能为同一商业体不同称呼
a9f11ef6-f07b-4d85-96cb-b44c4e0a828a,Xiaomi,小米之家重庆黔江区小广场移动光渝专卖店,重庆市,小米之家重庆黔江区小广场,MALL_3E40E977,小时代广场,430.6,75.0,MALL_3E40E977,high,门店名称包含'小广场'，与'小时代广场'名称高度匹配，且距离最近仅430米
91b78347-0c45-4042-b28f-05bcbc7e66f1,Xiaomi,小米之家重庆万州区福斯德移动迈航专卖店,重庆市,重庆市万州区太白路福斯德广场,MALL_26F5B3B6,万达广场,350.1,66.66666666666667,none,high,门店地址明确位于福斯德广场，但候选商场列表中无福斯德广场，其他商场均不匹配
bf654a29-6eb0-4f1e-8913-549367535135,Xiaomi,小米之家重庆江北区赛博专卖店,重庆市,重庆市江北区观音桥步行街赛博数码广场,MALL_1903C46F,星天广场,471.3,66.66666666666667,none,high,门店地址明确提到位于'赛博数码广场'，但候选商场列表中无此商场，最近的龙湖重庆北城天街距离410米但并非赛博数码广场
9b012a44-445d-4f77-ac21-ff054ed4fe5b,Xiaomi,小米之家四川自贡荣县天宇财富广场专卖店,自贡市,小米之家四川自贡荣县天宇财富广场,MALL_7DC77025,星河广场,462.1,66.66666666666667,MALL_7DC77025,high,门店名称含'天宇财富广场'，距离最近的星河广场仅462米，且位于同一城市自贡市，匹配度高
45eea721-a7f7-48dd-9972-f128213095e7,Xiaomi,小米之家贵州贵阳花溪区北大资源缤纷广场专卖店,贵阳市,小米之家贵州贵阳花溪区北大资源缤纷广场,MALL_FFCE3DE0,海纳广场,331.2,66.66666666666667,none,high,门店名称明确提及'北大资源缤纷广场'，但候选商场中无此名称，最近的海纳广场距离331米但名称不匹配
2a960b09-849a-4292-a325-922562b86c83,Xiaomi,小米之家陕西汉中汉台区万邦时代广场专卖店,汉中市,小米之家陕西汉中汉台区万邦时代广场,MALL_D6D039A8,现代国际广场,559.6,66.66666666666667,none,high,门店名称中明确提到'万邦时代广场'，但候选商场列表中无此商场，且所有候选商场的距离虽然较近但名称不匹配
fcc21bed-0543-4635-971b-3592658415b7,Xiaomi,小米之家新疆乌鲁木齐天山区中山路汇嘉专卖店,乌鲁木齐市,小米之家新疆乌鲁木齐天山区中山路汇,MALL_5928532F,天山百货(中山路),636.0,62.5,MALL_7168B725,high,门店地址明确标注为'汇嘉时代专卖店'，与候选商场'汇嘉时代'名称完全匹配
a8f4e23f-1d46-4a47-a7e6-bdfd8b37d0b7,Xiaomi,小米之家新疆哈密市伊州区领先购物广场专卖店,哈密市,小米之家新疆哈密市伊州区领先购物广场,MALL_FE315CC6,哈密领先购物广场,661.3,85.71428571428572,MALL_FE315CC6,high,门店名称明确包含'领先购物广场'，与候选商场'哈密领先购物广场'名称完全匹配，且距离最近仅661米
8c1dceac-5429-4bcf-8873-b626e11ab77c,vivo,vivo官方授权体验店（黄山歙县鸿基商店）,黄山市,安徽省黄山市歙县鸿基商贸城,MALL_C45C4044,河西义乌商贸城,580.6,60.0,none,high,门店地址明确位于鸿基商贸城，但候选商场列表中无鸿基商贸城，且所有候选商场名称与门店位置不匹配
400291c4-de25-435b-8f1c-3f96e9359323,vivo,vivo官方授权体验店（宿州埇桥苏宁广场店）,宿州市,vivo官方授权体验店（宿州埇桥苏宁广场,MALL_28D3DB49,国购广场,539.8,66.66666666666667,none,high,门店名称明确指向苏宁广场，但候选商场列表中无苏宁广场，所有候选商场均不匹配
c1b2456b-ba39-409c-ad29-dba727e71d12,vivo,vivo专卖店（嘉峪关联通广场店）,嘉峪关市,vivo专卖店（嘉峪关联通广场,MALL_8C7ADB3F,嘉德广场,415.0,66.66666666666667,MALL_8C7ADB3F,high,门店名称含'联通广场'，候选列表中仅嘉德广场距离最近（415米）且同在新华南路，地址匹配度高
ec44f666-fc46-49db-b36f-d44b183214d4,vivo,vivo官方授权体验店（玉门益旺国际店）,酒泉市,甘肃省酒泉市玉门市新市区玉关路1号益旺国际购物广场,MALL_270CECBF,新玉门购物广场,682.1,72.72727272727273,none,high,门店地址明确指向'益旺国际购物广场'，但候选商场列表中无此商场，且其他商场名称均不匹配
0ad0f8a3-8bdb-47c0-b120-557915c587fc,vivo,vivo官方授权体验店（龙华壹方天地购物中心店）,深圳市,vivo官方授权体验店（龙华壹方天地,MALL_45A4FAFE,壹方天地B区,378.1,80.0,MALL_45A4FAFE,high,门店名称明确标注为'壹方天地A区'，而候选商场中最匹配的'壹方天地B区'距离最近仅378米，属于同一商业综合体不同区域
36a502c5-46a8-44e1-a722-88edbbfe6772,vivo,vivo官方授权体验店（盐田壹海城店）,深圳市,vivo官方授权体验店（盐田壹海城,MALL_B92A0190,碧海城,408.6,80.0,MALL_37007321,high,门店地址明确提及位于壹海城·ONEMALL，候选商场'壹海道'名称匹配度高且距离最近（326.2米）
93d01229-d3a6-4d03-be8a-4df2a27b7de3,vivo,vivo官方授权体验店（崇阳老码头体验店）,咸宁市,天城,MALL_39BEA8B3,崇阳紫金商贸城,454.9,66.66666666666667,MALL_0FC68115,high,门店地址'天城镇民主路1-3号'与崇阳商厦地址'天城镇民主路50号'位于同一条路且距离最近（304米），匹配度最高
210a1910-4759-4a94-86f7-b67353560c98,vivo,vivo官方授权体验店（孝感孝南吾悦体验店）,孝感市,湖北省孝感市孝南区孝感开发区槐荫街道孝感吾悦广场,MALL_B02D1795,孝感崇文广场,443.2,66.66666666666667,none,high,门店名称明确标注为'孝感吾悦广场'，但候选列表中无吾悦广场，最近的孝感崇文广场距离443米但不匹配
f14a9e8f-0aa4-48e2-9da8-2d5cfeefa373,vivo,vivo专卖店（怀化会同店）,怀化市,湖南省怀化市会同县林城,MALL_04BFBC0D,会同县商贸城,337.5,72.72727272727273,MALL_04BFBC0D,high,门店地址中的'将军中路金惠花园'与商场地址'会同县商贸城中国农业银行(会同营业部)'地理位置相近，距离仅337.5米，且商贸城名称与专卖店定位匹配
d70fa3c7-6b77-4982-b2d6-2f234f19f49b,vivo,vivo官方授权体验店（南京浦口弘阳广场店）,南京市,vivo官方授权体验店（南京浦口弘阳广场,MALL_72C19E4E,南京弘阳广场C馆,371.2,75.0,MALL_72C19E4E,high,门店名称明确包含'弘阳广场'，且候选商场中'南京弘阳广场C馆'距离最近(371.2米)，地址与门店地址完全匹配
b97b6ec7-fe91-4e66-a7e0-d214f684dcc8,vivo,vivo官方授权体验店（南昌红谷滩万象新天地店）,南昌市,vivo官方授权体验店（南昌红谷滩万象新天地,MALL_6E0DECF5,地铁·更新天地,422.4,60.0,none,high,门店名称明确标注为'万象新天地店'，但候选商场列表中无'万象新天地'或'万象天地'，所有候选商场名称均不匹配
33fec17d-dc3a-46e8-bd6b-68c09d03de6f,vivo,vivo官方授权体验店（丰城解放南路四店）,宜春市,vivo官方授权体验店（丰城,MALL_8834DB87,恒丰商城,613.8,66.66666666666667,MALL_44527877,medium,门店地址'解放南路29号'与恒丰时代广场地址'建设路133号'地理位置相近，且距离仅464.6米，是最接近的门店位置。虽然无法完全确认是否为商场内店铺，但基于位置匹配度最高。
b06e21c9-4233-4467-8d83-abd2bccd3280,vivo,vivo官方授权体验店（西安首创未央里店）,西安市,vivo官方授权体验店（西安首创未央里,MALL_5B0C0BEE,首创禧悦里,357.2,60.0,MALL_5B0C0BEE,high,门店名称含'首创未央里'，候选商场'首创禧悦里'名称高度匹配且距离最近（357米），地理位置一致
b83adb2c-7176-484a-859c-e252d622079a,vivo,vivo专卖店（凤鸣北街店）,眉山市,四川省眉山市彭山区凤鸣街道北街龙腾商城,MALL_759C67E5,彭祖商城,489.9,66.66666666666667,MALL_759C67E5,high,门店地址明确提到位于龙腾商城，而彭祖商城距离最近仅489米，且都位于彭山区北街/西街商圈，地理位置匹配度高
918120f9-d0bf-4c45-84c8-3c7bdd54a06e,vivo,vivo专卖店(绵阳临园路店）,绵阳市,绵阳涪城,MALL_808A5794,绵阳商场,511.5,66.66666666666667,MALL_808A5794,high,门店地址包含'临园路'，该商场位于'临园路东段'，地址匹配度高，距离仅511米
adc4c29e-2e20-4796-a43e-696bb61d4203,vivo,vivo专卖店（莎车城西街道店）,喀什地区,vivo专卖店（莎车城,MALL_3C41B66D,莎车商贸城,377.2,75.0,MALL_AE7D47B1,high,时代购物中心距离最近（317米），且购物中心名称与vivo专卖店类型匹配度高
d3d31c00-fb47-422e-8b56-e3064014625b,vivo,vivo官方授权体验店（昆明盘龙恒隆店）,昆明市,云南省昆明市盘龙区拓东街道恒隆广场,MALL_431F0EC6,金俊广场,418.1,66.66666666666667,none,high,门店地址明确指向恒隆广场，但候选商场列表中未包含恒隆广场
6766946f-3c67-4e05-987d-0ceaa1cbe51c,vivo,vivo官方授权体验店（北仑富邦店）,宁波市,浙江省宁波市北仑区新碶街道富邦世纪广场,MALL_159F887B,富邦世纪商业广场B区,343.9,75.0,MALL_159F887B,high,门店地址明确提及富邦世纪广场，与候选商场'富邦世纪商业广场B区'名称高度匹配，且距离最近仅343.9米
727219ff-701b-40d6-8dc1-542ce84ab18c,vivo,vivo官方授权体验店（路桥会展店）,台州市,浙江省台州市路桥区路北街道玉宏半岛花园刚泰·艺鼎广场,MALL_ECF11968,银都广场,336.3,66.66666666666667,MALL_ECF11968,medium,门店地址中的'刚泰·艺鼎广场'与'银都广场'距离最近（336米），且都在路桥区，虽然名称不完全匹配但地理位置最接近
064fad77-ddc0-43fc-b018-9cb8c4f9b837,Apple Authorized,天信电子天水万达广场店,天水市,天信电子天水万达广场,MALL_C6D18CB4,天水秦州万达广场,470.5,85.71428571428572,MALL_C6D18CB4,high,门店名称包含'天水万达广场'，与候选商场'天水秦州万达广场'名称高度匹配，且距离仅470米，地址均在岷山路
4ce24348-80a0-4ef9-a7c4-83b75ce63e36,Apple Authorized,旺通恒兴平凉旺通数码店,平凉市,甘肃省平凉市泾阳中路166号金润国际购物中心,MALL_53855FFB,金润国际购物中心,375.2,100.0,MALL_53855FFB,high,门店地址明确提到位于金润国际购物中心，与候选商场名称完全匹配，且距离最近（375米）
f1551796-0958-4d27-b466-a794731a0f61,Apple Authorized,楚星电子庆阳镇原社区店,庆阳市,甘肃省庆阳市镇原县新一代巷好又多购物中心,MALL_17F5E4A4,新万达购物中心,675.5,72.72727272727273,MALL_17F5E4A4,high,门店地址中明确提到'好又多购物中心'，候选商场中'新万达购物中心'名称相似度最高，且距离适中（675.5米）
cfc46b9f-bc33-4f29-b196-eb32de16bb87,Apple Authorized,酷动西安凯德新地城店,西安市,酷动西安凯德新地城,MALL_D93CE6D2,凯德广场·新地城,455.3,76.92307692307692,MALL_D93CE6D2,high,门店地址明确位于凯德广场新地城01层16号，与候选商场'凯德广场·新地城'名称和地址完全匹配
ad6d996a-568a-4f03-80f5-e6496aa40999,Apple Authorized,信义电子西安高陵隆发时代广场店,西安市,信义电子西安高陵隆发时代广场,MALL_B9D1AF0E,高川广场,304.0,66.66666666666667,MALL_B9D1AF0E,high,门店地址明确位于隆发时代广场，与候选商场'高川广场'距离仅304米且地址描述一致（上林一路与鹿苑大道交叉口），地理位置高度匹配
adf763d7-f87f-4e62-9dd0-e4aac4ebb67f,Apple Authorized,SUNPIE尚派正品银川新华百货宁阳广场店,银川市,SUNPIE尚派正品银川新华百货宁阳广场,MALL_86241F62,银川新百宁阳广场店,340.3,77.77777777777779,MALL_86241F62,high,门店地址明确提到位于新华百货宁阳广场，且候选商场中该商场的名称和地址与门店信息高度匹配
6b1f8f26-0de4-4509-9a15-a7336e519aa9,Apple Authorized,酷莱仕科技绵阳三台松花井店,绵阳市,四川省绵阳市三台县松花井1号宏达东门里,MALL_0EEB898E,东门里购物广场,431.6,60.0,MALL_0EEB898E,high,门店地址中的'宏达东门里'与候选商场'东门里购物广场'名称高度匹配，且距离最近仅431米，位置信息完全吻合
69243c49-d064-4188-8c57-369a01df1169,Apple Authorized,SUNPIE尚派正品成都金牛万达广场店,成都市,SUNPIE尚派正品成都金牛万达广场,MALL_BFC04371,苏宁百货,439.5,69.56521739130434,MALL_BFC04371,high,门店地址明确位于'一环路北三段1号金牛万达广场1F层1051B'，与苏宁百货地址'一环路北三段1号'完全一致，且距离最近
6c665521-1c6b-4b64-a3f0-dd9bd9b6ca33,Apple Authorized,SUNPIE尚派正品榆林万达广场店,榆林市,SUNPIE尚派正品榆林万达广场,MALL_323C7389,榆林榆阳万达广场,413.5,85.71428571428572,MALL_323C7389,high,门店名称明确包含'榆林万达广场'，且候选商场中'榆林榆阳万达广场'距离最近仅413米，名称匹配度高
9e9fabbb-6e71-4293-af32-543c9bfb9114,Apple Authorized,正和鸿浩榆林榆阳K01榆星广场JXYD店,榆林市,正和鸿浩榆林榆阳K01榆星广场,MALL_D1EF1E04,榆星优品广场,475.0,80.0,MALL_D1EF1E04,high,门店地址中的'榆星广场'与候选商场'榆星优品广场'名称高度匹配，且地址均为文化南路45号，距离最近
504a48ac-2b1c-450a-bf15-b75e8011a43a,Apple Authorized,德来科技重庆云阳滨江购物公园店,重庆市,德来科技重庆云阳滨江购物公园,MALL_EEF32153,滨江购物公园·A馆,465.2,80.0,MALL_EEF32153,high,门店名称明确包含'滨江购物公园'，与候选商场'滨江购物公园·A馆'名称高度匹配，且距离很近仅465米
76088e56-b246-49a9-b07f-0e61dddcd44d,Apple Authorized,Apple 重庆北城天街,重庆,Apple 重庆北城,MALL_75E160FB,龙湖重庆北城天街,464.3,66.66666666666667,MALL_75E160FB,high,门店名称明确包含'北城天街'，与候选商场'龙湖重庆北城天街'名称高度匹配，且距离最近
23ac262e-8233-494f-b586-81fca78586c5,Apple Authorized,FAST LEAP重庆南坪星光广场店,重庆市,FAST LEAP重庆南坪星光广场,MALL_90B474DB,协信星光时代广场,436.7,66.66666666666667,MALL_90B474DB,high,门店地址明确位于协信星光时代广场4F-028，与候选商场协信星光时代广场名称完全匹配，且距离最近仅436.7米
e36f2173-c173-417a-a16f-67ea6a579370,Apple Authorized,酷联商贸南阳内乡社区店,南阳市,河南省南阳市内乡县渚阳大道万德隆购物广场,MALL_99A84FA7,财富广场,328.5,66.66666666666667,none,high,门店地址明确位于万德隆购物广场，但候选商场列表中无此商场，所有候选商场名称与万德隆购物广场不匹配
a6db011b-78c6-4587-b45e-9ecd12fc21ec,Apple Authorized,泽宏重庆綦江新世纪店,重庆市,重庆市綦江区九龙大道47号新世纪广场,MALL_E576D640,女人广场,487.2,66.66666666666667,MALL_5F734AB0,high,门店地址中的'新世纪广场'与候选商场'时代商场'地理位置高度匹配，且距离最近仅307米，同在九龙大道上
